2025-12-29T07:50:30.000000000Z [inf]  Starting Container
2025-12-29T07:50:31.198131166Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-29T07:50:31.198136464Z [inf]  =========================================
2025-12-29T07:50:31.198140782Z [inf]  📍 Working directory: /app/backend
2025-12-29T07:50:31.198163110Z [inf]  =========================================
2025-12-29T07:50:31.198263618Z [inf]  🔍 Python path: /app/backend
2025-12-29T07:50:31.198619122Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-29T07:50:31.198626650Z [inf]  =========================================
2025-12-29T07:50:31.271700450Z [err]  [2025-12-29 07:50:31 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-29T07:50:31.271704997Z [err]  [2025-12-29 07:50:31 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-29T07:50:31.271709104Z [err]  [2025-12-29 07:50:31 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-29T07:50:31.277394034Z [err]  [2025-12-29 07:50:31 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-29T07:50:31.358618667Z [err]  [2025-12-29 07:50:31 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-29T07:50:31.379745635Z [err]  [2025-12-29 07:50:31 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-29T07:50:31.418016933Z [err]  [2025-12-29 07:50:31 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-29T07:50:51.414777916Z [err]  2025-12-29 07:50:44,074 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T07:50:51.414787341Z [err]  2025-12-29 07:50:44,074 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T07:50:51.414799398Z [err]  2025-12-29 07:50:43,867 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T07:50:51.414808135Z [err]  2025-12-29 07:50:43,867 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T07:50:51.414814173Z [err]  2025-12-29 07:50:43,868 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T07:50:51.414820003Z [err]  2025-12-29 07:50:43,868 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T07:50:51.414827827Z [err]  2025-12-29 07:50:43,876 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T07:50:51.414834005Z [err]  2025-12-29 07:50:43,876 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T07:50:51.414840105Z [err]  2025-12-29 07:50:43,891 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T07:50:51.414845728Z [err]  2025-12-29 07:50:43,893 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T07:50:51.414852338Z [err]  2025-12-29 07:50:43,910 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T07:50:51.414857815Z [err]  2025-12-29 07:50:44,006 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T07:50:51.414863776Z [err]  2025-12-29 07:50:44,011 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T07:50:51.414869304Z [err]  2025-12-29 07:50:44,026 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
