2026-01-01T18:12:44.000000000Z [inf]  Starting Container
2026-01-01T18:12:45.128795027Z [inf]  =========================================
2026-01-01T18:12:45.128799291Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-01T18:12:45.128803966Z [inf]  =========================================
2026-01-01T18:12:45.128808684Z [inf]  📍 Working directory: /app/backend
2026-01-01T18:12:45.128814257Z [inf]  🔍 Python path: /app/backend
2026-01-01T18:12:45.128820559Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-01T18:12:45.128824863Z [inf]  =========================================
2026-01-01T18:12:46.980523095Z [err]  [2026-01-01 18:12:46 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-01T18:12:46.980529457Z [err]  [2026-01-01 18:12:46 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-01T18:12:46.980537320Z [err]  [2026-01-01 18:12:46 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-01T18:12:46.980544870Z [err]  [2026-01-01 18:12:46 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-01T18:12:46.980551679Z [err]  [2026-01-01 18:12:46 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-01T18:12:46.980558637Z [err]  [2026-01-01 18:12:46 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-01T18:12:46.980565257Z [err]  [2026-01-01 18:12:46 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-01T18:13:07.804065177Z [err]  2026-01-01 18:13:04,195 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-01T18:13:07.804099677Z [err]  2026-01-01 18:13:04,195 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-01T18:13:07.804159612Z [err]  2026-01-01 18:13:03,810 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-01T18:13:07.804288412Z [err]  2026-01-01 18:13:03,810 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-01T18:13:07.804299488Z [err]  2026-01-01 18:13:03,812 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-01T18:13:07.804306185Z [err]  2026-01-01 18:13:03,812 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-01T18:13:07.804313284Z [err]  2026-01-01 18:13:03,853 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-01T18:13:07.804321540Z [err]  2026-01-01 18:13:03,853 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-01T18:13:07.804331229Z [err]  2026-01-01 18:13:03,869 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-01T18:13:07.804338546Z [err]  2026-01-01 18:13:03,869 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-01T18:13:07.804348239Z [err]  2026-01-01 18:13:03,912 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-01T18:13:07.804355756Z [err]  2026-01-01 18:13:04,024 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-01T18:13:07.804362628Z [err]  2026-01-01 18:13:04,071 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-01T18:13:07.804368499Z [err]  2026-01-01 18:13:04,084 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-01T18:13:08.785676034Z [err]  2026-01-01 18:13:04,204 - server - INFO - ✅ QC enhanced router loaded
2026-01-01T18:13:08.785683316Z [err]  2026-01-01 18:13:04,235 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-01T18:13:08.785710269Z [err]  2026-01-01 18:13:04,240 - server - INFO - ✅ QC enhanced router loaded
2026-01-01T18:13:08.785719067Z [err]  2026-01-01 18:13:04,269 - server - INFO - ✅ QC agent router loaded
2026-01-01T18:13:08.785727191Z [err]  2026-01-01 18:13:04,283 - server - INFO - ✅ QC enhanced router loaded
2026-01-01T18:13:08.785735047Z [err]  2026-01-01 18:13:04,289 - server - INFO - ✅ QC agent router loaded
2026-01-01T18:13:08.785741446Z [err]  2026-01-01 18:13:04,306 - server - INFO - ✅ QC learning router loaded
2026-01-01T18:13:08.785747995Z [err]  2026-01-01 18:13:04,320 - server - INFO - ✅ QC learning router loaded
2026-01-01T18:13:08.785760900Z [err]  2026-01-01 18:13:04,346 - server - INFO - ✅ QC agent router loaded
2026-01-01T18:13:08.785769543Z [err]  2026-01-01 18:13:04,377 - server - INFO - ✅ QC learning router loaded
2026-01-01T18:13:08.785777103Z [err]  2026-01-01 18:13:04,430 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-01T18:13:08.785783553Z [err]  2026-01-01 18:13:04,471 - server - INFO - ✅ CRM router loaded
2026-01-01T18:13:08.785791245Z [err]  2026-01-01 18:13:04,490 - server - INFO - ✅ CRM router loaded
2026-01-01T18:13:08.785796792Z [err]  2026-01-01 18:13:04,496 - server - INFO - ✅ QC test router loaded
2026-01-01T18:13:08.785803362Z [err]  2026-01-01 18:13:04,496 - server - INFO - ✅ QC test router loaded
2026-01-01T18:13:08.785812416Z [err]  2026-01-01 18:13:04,527 - server - INFO - ✅ QC enhanced router loaded
2026-01-01T18:13:08.785821293Z [err]  2026-01-01 18:13:04,532 - server - INFO - ✅ Agent test router loaded
2026-01-01T18:13:08.785830996Z [err]  2026-01-01 18:13:04,534 - server - INFO - ✅ Agent test router loaded
2026-01-01T18:13:08.790933256Z [err]  2026-01-01 18:13:04,555 - server - INFO - ✅ Director Studio router loaded
2026-01-01T18:13:08.790941929Z [err]  2026-01-01 18:13:04,555 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-01T18:13:08.790948455Z [err]  2026-01-01 18:13:04,555 - server - INFO - ✅ Director Studio router loaded
2026-01-01T18:13:08.790957411Z [err]  2026-01-01 18:13:04,555 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-01T18:13:08.790965899Z [err]  2026-01-01 18:13:04,579 - server - INFO - ✅ CRM router loaded
2026-01-01T18:13:08.790972496Z [err]  [2026-01-01 18:13:04 +0000] [5] [INFO] Started server process [5]
2026-01-01T18:13:08.790978345Z [err]  [2026-01-01 18:13:04 +0000] [5] [INFO] Waiting for application startup.
2026-01-01T18:13:08.790984167Z [err]  2026-01-01 18:13:04,586 - server - INFO - ✅ QC test router loaded
2026-01-01T18:13:08.790992479Z [err]  [2026-01-01 18:13:04 +0000] [3] [INFO] Started server process [3]
2026-01-01T18:13:08.791001969Z [err]  [2026-01-01 18:13:04 +0000] [3] [INFO] Waiting for application startup.
2026-01-01T18:13:08.791008223Z [err]  2026-01-01 18:13:04,599 - server - INFO - ✅ QC agent router loaded
2026-01-01T18:13:08.791016700Z [err]  2026-01-01 18:13:04,603 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-01T18:13:08.791023144Z [err]  2026-01-01 18:13:04,612 - server - INFO - ✅ Agent test router loaded
2026-01-01T18:13:08.791029184Z [err]  2026-01-01 18:13:04,617 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-01T18:13:08.791036019Z [err]  2026-01-01 18:13:04,624 - server - INFO - ✅ Director Studio router loaded
2026-01-01T18:13:08.791041783Z [err]  2026-01-01 18:13:04,624 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-01T18:13:08.791046302Z [err]  2026-01-01 18:13:04,636 - server - INFO - ✅ QC learning router loaded
2026-01-01T18:13:08.791342462Z [err]  2026-01-01 18:13:04,813 - server - INFO - ✅ CRM router loaded
2026-01-01T18:13:08.791352278Z [err]  2026-01-01 18:13:04,818 - server - INFO - ✅ QC test router loaded
2026-01-01T18:13:08.791401010Z [err]  [2026-01-01 18:13:04 +0000] [6] [INFO] Started server process [6]
2026-01-01T18:13:08.791409065Z [err]  [2026-01-01 18:13:04 +0000] [6] [INFO] Waiting for application startup.
2026-01-01T18:13:08.791414591Z [err]  2026-01-01 18:13:04,666 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-01T18:13:08.791433376Z [err]  2026-01-01 18:13:04,839 - server - INFO - ✅ Agent test router loaded
2026-01-01T18:13:08.791439033Z [err]  2026-01-01 18:13:04,850 - server - INFO - ✅ Director Studio router loaded
2026-01-01T18:13:08.791444882Z [err]  2026-01-01 18:13:04,850 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-01T18:13:08.791451441Z [err]  [2026-01-01 18:13:04 +0000] [4] [INFO] Started server process [4]
