2025-12-29T06:04:39.000000000Z [inf]  Starting Container
2025-12-29T06:04:40.118951255Z [inf]  =========================================
2025-12-29T06:04:40.118955464Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-29T06:04:40.118960224Z [inf]  =========================================
2025-12-29T06:04:40.118964993Z [inf]  📍 Working directory: /app/backend
2025-12-29T06:04:40.118969799Z [inf]  🔍 Python path: /app/backend
2025-12-29T06:04:40.118974453Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-29T06:04:40.118979516Z [inf]  =========================================
2025-12-29T06:04:40.665120156Z [err]  [2025-12-29 06:04:40 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-29T06:04:40.665130816Z [err]  [2025-12-29 06:04:40 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-29T06:04:40.665138272Z [err]  [2025-12-29 06:04:40 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-29T06:04:40.665145141Z [err]  [2025-12-29 06:04:40 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-29T06:04:40.721812344Z [err]  [2025-12-29 06:04:40 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-29T06:04:40.802543357Z [err]  [2025-12-29 06:04:40 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-29T06:04:40.902861843Z [err]  [2025-12-29 06:04:40 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-29T06:05:01.081380343Z [err]  2025-12-29 06:04:57,409 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T06:05:01.081389521Z [err]  2025-12-29 06:04:57,409 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T06:05:01.081396844Z [err]  2025-12-29 06:04:57,427 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T06:05:01.081403057Z [err]  2025-12-29 06:04:57,427 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T06:05:01.081411261Z [err]  2025-12-29 06:04:57,445 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T06:05:01.081417441Z [err]  2025-12-29 06:04:57,459 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T06:05:01.081422639Z [err]  2025-12-29 06:04:57,462 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T06:05:01.081430921Z [err]  2025-12-29 06:04:57,462 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T06:05:01.081438979Z [err]  2025-12-29 06:04:57,492 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-29T06:05:01.081448414Z [err]  2025-12-29 06:04:57,492 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-29T06:05:01.081457423Z [err]  2025-12-29 06:04:57,496 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T06:05:01.081466130Z [err]  2025-12-29 06:04:57,528 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-29T06:05:01.081474294Z [err]  2025-12-29 06:04:57,588 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T06:05:01.081483038Z [err]  2025-12-29 06:04:57,613 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T06:05:01.081525993Z [err]  2025-12-29 06:04:57,630 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T06:05:01.081539220Z [err]  2025-12-29 06:04:57,703 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-29T06:05:01.081557413Z [err]  2025-12-29 06:04:57,792 - server - INFO - ✅ QC enhanced router loaded
2025-12-29T06:05:01.081563273Z [err]  2025-12-29 06:04:57,798 - server - INFO - ✅ QC enhanced router loaded
2025-12-29T06:05:01.081568326Z [err]  2025-12-29 06:04:57,802 - server - INFO - ✅ QC enhanced router loaded
2025-12-29T06:05:01.081574198Z [err]  2025-12-29 06:04:57,830 - server - INFO - ✅ QC enhanced router loaded
2025-12-29T06:05:01.081579516Z [err]  2025-12-29 06:04:57,843 - server - INFO - ✅ QC agent router loaded
2025-12-29T06:05:01.081587606Z [err]  2025-12-29 06:04:57,847 - server - INFO - ✅ QC agent router loaded
2025-12-29T06:05:01.081592621Z [err]  2025-12-29 06:04:57,869 - server - INFO - ✅ QC agent router loaded
2025-12-29T06:05:01.081597555Z [err]  2025-12-29 06:04:57,871 - server - INFO - ✅ QC learning router loaded
2025-12-29T06:05:01.081603157Z [err]  2025-12-29 06:04:57,880 - server - INFO - ✅ QC agent router loaded
2025-12-29T06:05:01.081608326Z [err]  2025-12-29 06:04:57,893 - server - INFO - ✅ QC learning router loaded
2025-12-29T06:05:01.081619253Z [err]  2025-12-29 06:04:57,902 - server - INFO - ✅ QC learning router loaded
2025-12-29T06:05:01.081625958Z [err]  2025-12-29 06:04:57,908 - server - INFO - ✅ QC learning router loaded
2025-12-29T06:05:01.081631009Z [err]  2025-12-29 06:04:58,026 - server - INFO - ✅ CRM router loaded
2025-12-29T06:05:01.081635317Z [err]  2025-12-29 06:04:58,027 - server - INFO - ✅ CRM router loaded
2025-12-29T06:05:01.081644238Z [err]  2025-12-29 06:04:58,041 - server - INFO - ✅ QC test router loaded
2025-12-29T06:05:01.081651571Z [err]  2025-12-29 06:04:58,050 - server - INFO - ✅ CRM router loaded
2025-12-29T06:05:01.081661493Z [err]  2025-12-29 06:04:58,055 - server - INFO - ✅ QC test router loaded
2025-12-29T06:05:01.081669754Z [err]  2025-12-29 06:04:58,056 - server - INFO - ✅ QC test router loaded
2025-12-29T06:05:01.081677662Z [err]  2025-12-29 06:04:58,071 - server - INFO - ✅ Agent test router loaded
2025-12-29T06:05:01.081695527Z [err]  2025-12-29 06:04:58,072 - server - INFO - ✅ Agent test router loaded
2025-12-29T06:05:01.081704334Z [err]  2025-12-29 06:04:58,074 - server - INFO - ✅ Agent test router loaded
2025-12-29T06:05:01.081714900Z [err]  2025-12-29 06:04:58,075 - server - INFO - ✅ CRM router loaded
2025-12-29T06:05:01.081722878Z [err]  2025-12-29 06:04:58,082 - server - INFO - ✅ QC test router loaded
2025-12-29T06:05:01.081733284Z [err]  2025-12-29 06:04:58,090 - server - INFO - ✅ Director Studio router loaded
2025-12-29T06:05:01.081741073Z [err]  2025-12-29 06:04:58,090 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-29T06:05:01.081748937Z [err]  2025-12-29 06:04:58,101 - server - INFO - ✅ Agent test router loaded
2025-12-29T06:05:01.081756427Z [err]  2025-12-29 06:04:58,111 - server - INFO - ✅ Director Studio router loaded
2025-12-29T06:05:01.081761257Z [err]  2025-12-29 06:04:58,111 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-29T06:05:01.081785078Z [err]  [2025-12-29 06:04:58 +0000] [6] [INFO] Started server process [6]
2025-12-29T06:05:01.081791643Z [err]  [2025-12-29 06:04:58 +0000] [6] [INFO] Waiting for application startup.
2025-12-29T06:05:01.081798021Z [err]  [2025-12-29 06:04:58 +0000] [4] [INFO] Started server process [4]
2025-12-29T06:05:01.081805247Z [err]  [2025-12-29 06:04:58 +0000] [4] [INFO] Waiting for application startup.
2025-12-29T06:05:01.081816538Z [err]  2025-12-29 06:04:58,153 - server - INFO - ✅ Director Studio router loaded
2025-12-29T06:05:01.081826271Z [err]  2025-12-29 06:04:58,153 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-29T06:05:01.081834473Z [err]  2025-12-29 06:04:58,154 - server - INFO - ✅ Director Studio router loaded
2025-12-29T06:05:01.081846251Z [err]  2025-12-29 06:04:58,154 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-29T06:05:01.081852417Z [err]  [2025-12-29 06:04:58 +0000] [5] [INFO] Started server process [5]
2025-12-29T06:05:01.081865097Z [err]  [2025-12-29 06:04:58 +0000] [5] [INFO] Waiting for application startup.
2025-12-29T06:05:01.081886462Z [err]  [2025-12-29 06:04:58 +0000] [3] [INFO] Started server process [3]
2025-12-29T06:05:01.081893021Z [err]  [2025-12-29 06:04:58 +0000] [3] [INFO] Waiting for application startup.
2025-12-29T06:05:01.081900373Z [err]  2025-12-29 06:04:58,289 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-29T06:05:01.081906909Z [err]  2025-12-29 06:04:58,289 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-29T06:05:01.081920253Z [err]  2025-12-29 06:04:58,290 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-29T06:05:01.081927933Z [err]  2025-12-29 06:04:58,290 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-29T06:05:09.719603244Z [err]  2025-12-29 06:05:09,717 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-29T06:05:09.725607456Z [err]  2025-12-29 06:05:09,722 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-29T06:05:09.725620833Z [err]  2025-12-29 06:05:09,722 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2025-12-29T06:05:09.725632116Z [err]  2025-12-29 06:05:09,722 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2025-12-29T06:05:10.017322644Z [err]  2025-12-29 06:05:10,014 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-29T06:05:10.021227120Z [err]  2025-12-29 06:05:10,019 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-29T06:05:10.021237433Z [err]  2025-12-29 06:05:10,019 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2025-12-29T06:05:10.021245862Z [err]  2025-12-29 06:05:10,019 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2025-12-29T06:05:10.263889233Z [err]  2025-12-29 06:05:10,101 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2025-12-29T06:05:10.263903625Z [err]  2025-12-29 06:05:10,101 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2025-12-29T06:05:10.263912784Z [err]  2025-12-29 06:05:10,101 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-29T06:05:10.263921957Z [err]  2025-12-29 06:05:10,103 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-29T06:05:10.263930766Z [err]  2025-12-29 06:05:10,103 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2025-12-29T06:05:10.263939518Z [err]  2025-12-29 06:05:10,103 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2025-12-29T06:05:10.263989708Z [err]  2025-12-29 06:05:10,099 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-29T06:05:10.263999492Z [err]  2025-12-29 06:05:10,100 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-29T06:05:10.852142920Z [err]  2025-12-29 06:05:10,850 - comfort_noise - INFO - ✅ Generated comfort noise sample: 30s (white=-83dB, hum=-93dB)
2025-12-29T06:05:10.991149504Z [err]  2025-12-29 06:05:10,987 - comfort_noise - INFO - ✅ Generated mulaw comfort noise: 240000 bytes
2025-12-29T06:05:10.991158711Z [err]  2025-12-29 06:05:10,988 - server - INFO - ✅ Mulaw comfort noise ready (240000 bytes)
2025-12-29T06:05:10.991166559Z [err]  [2025-12-29 06:05:10 +0000] [3] [INFO] Application startup complete.
2025-12-29T06:05:11.223343501Z [err]  2025-12-29 06:05:11,108 - comfort_noise - INFO - ✅ Generated comfort noise sample: 30s (white=-83dB, hum=-93dB)
2025-12-29T06:05:11.223350692Z [err]  2025-12-29 06:05:11,146 - comfort_noise - INFO - ✅ Generated comfort noise sample: 30s (white=-83dB, hum=-93dB)
2025-12-29T06:05:11.223357925Z [err]  2025-12-29 06:05:11,148 - comfort_noise - INFO - ✅ Generated comfort noise sample: 30s (white=-83dB, hum=-93dB)
2025-12-29T06:05:11.236895817Z [err]  2025-12-29 06:05:11,234 - comfort_noise - INFO - ✅ Generated mulaw comfort noise: 240000 bytes
2025-12-29T06:05:11.236901117Z [err]  2025-12-29 06:05:11,235 - server - INFO - ✅ Mulaw comfort noise ready (240000 bytes)
2025-12-29T06:05:11.236907703Z [err]  [2025-12-29 06:05:11 +0000] [6] [INFO] Application startup complete.
2025-12-29T06:05:11.266077629Z [err]  2025-12-29 06:05:11,265 - comfort_noise - INFO - ✅ Generated mulaw comfort noise: 240000 bytes
2025-12-29T06:05:11.267953361Z [err]  2025-12-29 06:05:11,265 - comfort_noise - INFO - ✅ Generated mulaw comfort noise: 240000 bytes
2025-12-29T06:05:11.267966523Z [err]  2025-12-29 06:05:11,265 - server - INFO - ✅ Mulaw comfort noise ready (240000 bytes)
2025-12-29T06:05:11.267975111Z [err]  2025-12-29 06:05:11,265 - server - INFO - ✅ Mulaw comfort noise ready (240000 bytes)
2025-12-29T06:05:11.267982737Z [err]  [2025-12-29 06:05:11 +0000] [5] [INFO] Application startup complete.
2025-12-29T06:05:11.267990370Z [err]  [2025-12-29 06:05:11 +0000] [4] [INFO] Application startup complete.
2025-12-29T06:07:41.267622159Z [inf]  100.64.0.2:36334 - "POST /api/auth/logout HTTP/1.1" 200
2025-12-29T06:07:41.267626527Z [inf]  100.64.0.3:28806 - "OPTIONS /api/auth/login HTTP/1.1" 200
2025-12-29T06:07:41.267630719Z [inf]  100.64.0.2:36334 - "POST /api/auth/login HTTP/1.1" 200
2025-12-29T06:07:41.267634995Z [inf]  100.64.0.2:36334 - "GET /api/agents HTTP/1.1" 200
2025-12-29T06:07:42.539702520Z [inf]  100.64.0.2:36334 - "GET /api/agents HTTP/1.1" 200
2025-12-29T06:08:02.534506064Z [inf]  100.64.0.4:26018 - "OPTIONS /api/telnyx/call/outbound HTTP/1.1" 200
2025-12-29T06:08:02.534516041Z [err]  2025-12-29 06:07:59,045 - server - INFO - 🌐 Created WebSocket stream URL: wss://api.li-ai.org/api/telnyx/audio-stream
2025-12-29T06:08:02.534523823Z [err]  2025-12-29 06:07:59,150 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
