2025-12-18T08:31:11.000000000Z [inf]  Starting Container
2025-12-18T08:31:11.966258656Z [inf]  =========================================
2025-12-18T08:31:11.966270483Z [inf]  📍 Working directory: /app/backend
2025-12-18T08:31:11.966278848Z [inf]  🔍 Python path: /app/backend
2025-12-18T08:31:11.966286392Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-18T08:31:11.966293366Z [inf]  =========================================
2025-12-18T08:31:11.966367718Z [inf]  =========================================
2025-12-18T08:31:11.966371403Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-18T08:31:12.073348173Z [err]  [2025-12-18 08:31:12 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-18T08:31:12.073356018Z [err]  [2025-12-18 08:31:12 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-18T08:31:12.073362060Z [err]  [2025-12-18 08:31:12 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-18T08:31:12.074247338Z [err]  [2025-12-18 08:31:12 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-18T08:31:12.131652075Z [err]  [2025-12-18 08:31:12 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-18T08:31:12.174103387Z [err]  [2025-12-18 08:31:12 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-18T08:31:12.215018983Z [err]  [2025-12-18 08:31:12 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-18T08:31:32.223648036Z [err]  2025-12-18 08:31:27,400 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:31:32.223656353Z [err]  2025-12-18 08:31:27,449 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:31:32.223662630Z [err]  2025-12-18 08:31:27,487 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:31:32.223669057Z [err]  2025-12-18 08:31:27,493 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:31:32.223675603Z [err]  2025-12-18 08:31:27,494 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:31:32.223689446Z [err]  2025-12-18 08:31:27,264 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:31:32.223697722Z [err]  2025-12-18 08:31:27,264 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:31:32.223706593Z [err]  2025-12-18 08:31:27,289 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:31:32.223714171Z [err]  2025-12-18 08:31:27,315 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:31:32.223723989Z [err]  2025-12-18 08:31:27,315 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:31:32.223731561Z [err]  2025-12-18 08:31:27,340 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:31:32.223738305Z [err]  2025-12-18 08:31:27,351 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:31:32.223745132Z [err]  2025-12-18 08:31:27,351 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:31:32.223750943Z [err]  2025-12-18 08:31:27,377 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:31:32.224704113Z [err]  2025-12-18 08:31:27,499 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:31:32.224705188Z [err]  2025-12-18 08:31:27,629 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:31:32.224711811Z [err]  2025-12-18 08:31:27,505 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:31:32.224713836Z [err]  2025-12-18 08:31:27,680 - server - INFO - ✅ CRM router loaded
2025-12-18T08:31:32.224721512Z [err]  2025-12-18 08:31:27,685 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:31:32.224725877Z [err]  2025-12-18 08:31:27,521 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:31:32.224728243Z [err]  2025-12-18 08:31:27,692 - server - INFO - ✅ QC test router loaded
2025-12-18T08:31:32.224733303Z [err]  2025-12-18 08:31:27,536 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:31:32.224737834Z [err]  2025-12-18 08:31:27,694 - server - INFO - ✅ CRM router loaded
2025-12-18T08:31:32.224739911Z [err]  2025-12-18 08:31:27,542 - server - INFO - ✅ QC agent router loaded
2025-12-18T08:31:32.224745529Z [err]  2025-12-18 08:31:27,697 - server - INFO - ✅ CRM router loaded
2025-12-18T08:31:32.224746670Z [err]  2025-12-18 08:31:27,547 - server - INFO - ✅ QC agent router loaded
