2025-12-27T07:18:56.000000000Z [inf]  Starting Container
2025-12-27T07:18:57.646466108Z [inf]  =========================================
2025-12-27T07:18:57.646676992Z [inf]  =========================================
2025-12-27T07:18:57.646683739Z [inf]  📍 Working directory: /app/backend
2025-12-27T07:18:57.646687960Z [inf]  =========================================
2025-12-27T07:18:57.646692102Z [inf]  🔍 Python path: /app/backend
2025-12-27T07:18:57.646697279Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-27T07:18:57.646700768Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-27T07:18:57.846502626Z [err]  [2025-12-27 07:18:57 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-27T07:18:57.846508805Z [err]  [2025-12-27 07:18:57 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-27T07:18:57.846515135Z [err]  [2025-12-27 07:18:57 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-27T07:18:57.851702531Z [err]  [2025-12-27 07:18:57 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-27T07:18:57.946843973Z [err]  [2025-12-27 07:18:57 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-27T07:18:58.002740923Z [err]  [2025-12-27 07:18:57 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-27T07:18:58.738657718Z [err]  [2025-12-27 07:18:58 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-27T07:19:18.073798616Z [err]  2025-12-27 07:19:13,351 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T07:19:18.073804312Z [err]  2025-12-27 07:19:13,351 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T07:19:18.073808860Z [err]  2025-12-27 07:19:13,351 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T07:19:18.073815485Z [err]  2025-12-27 07:19:13,351 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T07:19:18.073820082Z [err]  2025-12-27 07:19:13,353 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T07:19:18.073824589Z [err]  2025-12-27 07:19:13,353 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T07:19:18.073828494Z [err]  2025-12-27 07:19:13,353 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T07:19:18.073832635Z [err]  2025-12-27 07:19:13,354 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T07:19:18.073836581Z [err]  2025-12-27 07:19:13,388 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T07:19:18.073841387Z [err]  2025-12-27 07:19:13,388 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T07:19:18.073845748Z [err]  2025-12-27 07:19:13,391 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T07:19:18.073850025Z [err]  2025-12-27 07:19:13,394 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T07:19:18.073854266Z [err]  2025-12-27 07:19:13,541 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T07:19:18.073858186Z [err]  2025-12-27 07:19:13,542 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T07:19:18.080829259Z [err]  2025-12-27 07:19:13,543 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T07:19:18.080835576Z [err]  2025-12-27 07:19:13,549 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T07:19:18.080844668Z [err]  2025-12-27 07:19:13,679 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T07:19:18.080850940Z [err]  2025-12-27 07:19:13,683 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T07:19:18.080857231Z [err]  2025-12-27 07:19:13,687 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T07:19:18.080862869Z [err]  2025-12-27 07:19:13,702 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T07:19:18.080868862Z [err]  2025-12-27 07:19:13,743 - server - INFO - ✅ QC agent router loaded
2025-12-27T07:19:18.080874504Z [err]  2025-12-27 07:19:13,744 - server - INFO - ✅ QC agent router loaded
2025-12-27T07:19:18.080881679Z [err]  2025-12-27 07:19:13,750 - server - INFO - ✅ QC agent router loaded
2025-12-27T07:19:18.080888835Z [err]  2025-12-27 07:19:13,773 - server - INFO - ✅ QC agent router loaded
2025-12-27T07:19:18.080895574Z [err]  2025-12-27 07:19:13,778 - server - INFO - ✅ QC learning router loaded
2025-12-27T07:19:18.080904744Z [err]  2025-12-27 07:19:13,785 - server - INFO - ✅ QC learning router loaded
2025-12-27T07:19:18.080911306Z [err]  2025-12-27 07:19:13,788 - server - INFO - ✅ QC learning router loaded
