2025-12-26T14:50:03.000000000Z [inf]  Starting Container
2025-12-26T14:50:03.503017707Z [inf]  =========================================
2025-12-26T14:50:03.503023854Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-26T14:50:03.503029693Z [inf]  =========================================
2025-12-26T14:50:03.503036168Z [inf]  📍 Working directory: /app/backend
2025-12-26T14:50:03.503043333Z [inf]  🔍 Python path: /app/backend
2025-12-26T14:50:03.503049189Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-26T14:50:03.503054944Z [inf]  =========================================
2025-12-26T14:50:04.522274678Z [err]  [2025-12-26 14:50:04 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-26T14:50:04.522283269Z [err]  [2025-12-26 14:50:04 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-26T14:50:04.522291875Z [err]  [2025-12-26 14:50:04 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-26T14:50:04.522300729Z [err]  [2025-12-26 14:50:04 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-26T14:50:04.522309032Z [err]  [2025-12-26 14:50:04 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-26T14:50:04.522317038Z [err]  [2025-12-26 14:50:04 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-26T14:50:04.522325107Z [err]  [2025-12-26 14:50:04 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-26T14:50:34.466353018Z [err]  2025-12-26 14:50:26,855 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-26T14:50:34.466367515Z [err]  2025-12-26 14:50:27,030 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-26T14:50:34.466374618Z [err]  2025-12-26 14:50:26,817 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-26T14:50:34.466383778Z [err]  2025-12-26 14:50:26,817 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-26T14:50:34.466384560Z [err]  2025-12-26 14:50:27,044 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-26T14:50:34.466392932Z [err]  2025-12-26 14:50:26,817 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-26T14:50:34.466397819Z [err]  2025-12-26 14:50:27,073 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-26T14:50:34.466402527Z [err]  2025-12-26 14:50:26,818 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-26T14:50:34.466408351Z [err]  2025-12-26 14:50:27,074 - server - INFO - 🔥 Pre-warming connection libraries...
