2026-01-04T13:28:59.000000000Z [inf]  Starting Container
2026-01-04T13:28:59.987144672Z [inf]  =========================================
2026-01-04T13:28:59.987167149Z [inf]  =========================================
2026-01-04T13:28:59.987171588Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-04T13:28:59.987175651Z [inf]  =========================================
2026-01-04T13:28:59.987179373Z [inf]  📍 Working directory: /app/backend
2026-01-04T13:28:59.987183383Z [inf]  🔍 Python path: /app/backend
2026-01-04T13:28:59.987187775Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-04T13:29:00.090249951Z [err]  [2026-01-04 13:29:00 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-04T13:29:00.090253987Z [err]  [2026-01-04 13:29:00 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-04T13:29:00.090258336Z [err]  [2026-01-04 13:29:00 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-04T13:29:00.092511691Z [err]  [2026-01-04 13:29:00 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-04T13:29:00.166565364Z [err]  [2026-01-04 13:29:00 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-04T13:29:00.216142214Z [err]  [2026-01-04 13:29:00 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-04T13:29:00.236896883Z [err]  [2026-01-04 13:29:00 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-04T13:29:20.236049842Z [err]  2026-01-04 13:29:13,642 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-04T13:29:20.236055926Z [err]  2026-01-04 13:29:13,642 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-04T13:29:20.236061144Z [err]  2026-01-04 13:29:13,642 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-04T13:29:20.236067156Z [err]  2026-01-04 13:29:13,642 - server - INFO - 🔥 Pre-warming connection libraries...
