2025-12-18T08:00:08.000000000Z [inf]  Starting Container
2025-12-18T08:00:09.650689403Z [inf]  =========================================
2025-12-18T08:00:09.650699557Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-18T08:00:09.650707128Z [inf]  =========================================
2025-12-18T08:00:09.650716701Z [inf]  📍 Working directory: /app/backend
2025-12-18T08:00:09.650723695Z [inf]  🔍 Python path: /app/backend
2025-12-18T08:00:09.650730906Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-18T08:00:09.650738488Z [inf]  =========================================
2025-12-18T08:00:11.073844279Z [err]  [2025-12-18 08:00:10 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-18T08:00:11.073848364Z [err]  [2025-12-18 08:00:10 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-18T08:00:11.073852401Z [err]  [2025-12-18 08:00:10 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-18T08:00:11.073857056Z [err]  [2025-12-18 08:00:10 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-18T08:00:11.073861344Z [err]  [2025-12-18 08:00:10 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-18T08:00:11.073866213Z [err]  [2025-12-18 08:00:10 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-18T08:00:11.073870249Z [err]  [2025-12-18 08:00:10 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-18T08:00:30.225323878Z [err]  2025-12-18 08:00:28,877 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:00:30.225330808Z [err]  2025-12-18 08:00:28,877 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:00:30.225338176Z [err]  2025-12-18 08:00:28,892 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:00:30.225345292Z [err]  2025-12-18 08:00:28,892 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:00:30.225353756Z [err]  2025-12-18 08:00:28,920 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:00:30.225361353Z [err]  2025-12-18 08:00:28,940 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:00:30.225368085Z [err]  2025-12-18 08:00:28,981 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:00:30.225375125Z [err]  2025-12-18 08:00:28,982 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:00:30.225382985Z [err]  2025-12-18 08:00:29,064 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:00:30.225389101Z [err]  2025-12-18 08:00:29,136 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:00:30.225395636Z [err]  2025-12-18 08:00:29,184 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:00:30.225401838Z [err]  2025-12-18 08:00:29,198 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T08:00:30.225407901Z [err]  2025-12-18 08:00:29,198 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T08:00:30.225415457Z [err]  2025-12-18 08:00:29,235 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:00:31.533746697Z [err]  2025-12-18 08:00:29,243 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T08:00:31.533753613Z [err]  2025-12-18 08:00:29,337 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:00:31.533759561Z [err]  2025-12-18 08:00:29,349 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:00:31.533763666Z [err]  2025-12-18 08:00:29,354 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:00:31.533768057Z [err]  2025-12-18 08:00:29,408 - server - INFO - ✅ QC agent router loaded
2025-12-18T08:00:31.533775934Z [err]  2025-12-18 08:00:29,413 - server - INFO - ✅ QC agent router loaded
2025-12-18T08:00:31.533783558Z [err]  2025-12-18 08:00:29,425 - server - INFO - ✅ QC agent router loaded
2025-12-18T08:00:31.533789611Z [err]  2025-12-18 08:00:29,440 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T08:00:31.533795605Z [err]  2025-12-18 08:00:29,448 - server - INFO - ✅ QC learning router loaded
2025-12-18T08:00:31.533802034Z [err]  2025-12-18 08:00:29,451 - server - INFO - ✅ QC learning router loaded
2025-12-18T08:00:31.533808324Z [err]  2025-12-18 08:00:29,456 - server - INFO - ✅ QC learning router loaded
2025-12-18T08:00:31.533814748Z [err]  2025-12-18 08:00:29,520 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T08:00:31.533822477Z [err]  2025-12-18 08:00:29,581 - server - INFO - ✅ QC agent router loaded
2025-12-18T08:00:31.533827193Z [err]  2025-12-18 08:00:29,615 - server - INFO - ✅ CRM router loaded
2025-12-18T08:00:31.533832434Z [err]  2025-12-18 08:00:29,616 - server - INFO - ✅ QC learning router loaded
2025-12-18T08:00:31.533837640Z [err]  2025-12-18 08:00:29,637 - server - INFO - ✅ CRM router loaded
2025-12-18T08:00:31.533842012Z [err]  2025-12-18 08:00:29,640 - server - INFO - ✅ CRM router loaded
2025-12-18T08:00:31.533846424Z [err]  2025-12-18 08:00:29,746 - server - INFO - ✅ QC test router loaded
2025-12-18T08:00:32.803561331Z [err]  2025-12-18 08:00:29,821 - server - INFO - ✅ QC test router loaded
2025-12-18T08:00:32.803566374Z [err]  2025-12-18 08:00:29,845 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-18T08:00:32.803580921Z [err]  [2025-12-18 08:00:29 +0000] [3] [INFO] Started server process [3]
2025-12-18T08:00:32.803600653Z [err]  [2025-12-18 08:00:29 +0000] [4] [INFO] Started server process [4]
2025-12-18T08:00:32.803615481Z [err]  [2025-12-18 08:00:29 +0000] [4] [INFO] Waiting for application startup.
2025-12-18T08:00:32.803619071Z [err]  2025-12-18 08:00:29,844 - server - INFO - ✅ Agent test router loaded
2025-12-18T08:00:32.803625177Z [err]  2025-12-18 08:00:29,834 - server - INFO - ✅ Director Studio router loaded
2025-12-18T08:00:32.803631549Z [err]  2025-12-18 08:00:29,834 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-18T08:00:32.804486224Z [err]  2025-12-18 08:00:29,749 - server - INFO - ✅ QC test router loaded
2025-12-18T08:00:32.804493037Z [err]  2025-12-18 08:00:29,750 - server - INFO - ✅ QC test router loaded
2025-12-18T08:00:32.804499702Z [err]  2025-12-18 08:00:29,778 - server - INFO - ✅ Agent test router loaded
2025-12-18T08:00:32.804506962Z [err]  2025-12-18 08:00:29,787 - server - INFO - ✅ Agent test router loaded
2025-12-18T08:00:32.804512969Z [err]  2025-12-18 08:00:29,798 - server - INFO - ✅ Director Studio router loaded
2025-12-18T08:00:32.804518548Z [err]  2025-12-18 08:00:29,798 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-18T08:00:32.804524246Z [err]  2025-12-18 08:00:29,802 - server - INFO - ✅ Director Studio router loaded
2025-12-18T08:00:32.804530177Z [err]  2025-12-18 08:00:29,802 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-18T08:00:32.804544733Z [err]  2025-12-18 08:00:29,816 - server - INFO - ✅ CRM router loaded
2025-12-18T08:00:32.804551405Z [err]  2025-12-18 08:00:29,819 - server - INFO - ✅ Agent test router loaded
2025-12-18T08:00:34.435160337Z [err]  [2025-12-18 08:00:29 +0000] [3] [INFO] Waiting for application startup.
2025-12-18T08:00:34.435198244Z [err]  2025-12-18 08:00:29,853 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-18T08:00:34.435205824Z [err]  2025-12-18 08:00:29,857 - server - INFO - ✅ Director Studio router loaded
2025-12-18T08:00:34.435211642Z [err]  2025-12-18 08:00:29,857 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-18T08:00:34.435217593Z [err]  [2025-12-18 08:00:29 +0000] [6] [INFO] Started server process [6]
2025-12-18T08:00:34.435226660Z [err]  [2025-12-18 08:00:29 +0000] [6] [INFO] Waiting for application startup.
2025-12-18T08:00:34.435234359Z [err]  2025-12-18 08:00:29,877 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-18T08:00:34.435241758Z [err]  [2025-12-18 08:00:29 +0000] [5] [INFO] Started server process [5]
2025-12-18T08:00:34.435248130Z [err]  [2025-12-18 08:00:29 +0000] [5] [INFO] Waiting for application startup.
2025-12-18T08:00:34.435253567Z [err]  2025-12-18 08:00:29,901 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-18T08:00:41.249496039Z [err]  2025-12-18 08:00:40,783 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-18T08:00:41.249502401Z [err]  2025-12-18 08:00:40,803 - server - INFO - ✅ Comfort noise file ready for immediate use
2025-12-18T08:00:41.249507900Z [err]  [2025-12-18 08:00:40 +0000] [3] [INFO] Application startup complete.
2025-12-18T08:00:41.249514710Z [err]  2025-12-18 08:00:40,873 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-18T08:00:41.249520609Z [err]  2025-12-18 08:00:40,879 - server - INFO - ✅ Comfort noise file ready for immediate use
2025-12-18T08:00:41.249527018Z [err]  [2025-12-18 08:00:40 +0000] [6] [INFO] Application startup complete.
2025-12-18T08:00:42.597555390Z [err]  [2025-12-18 08:00:41 +0000] [5] [INFO] Application startup complete.
2025-12-18T08:00:42.597568442Z [err]  2025-12-18 08:00:41,732 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-18T08:00:42.597580738Z [err]  2025-12-18 08:00:41,741 - server - INFO - ✅ Comfort noise file ready for immediate use
2025-12-18T08:00:42.597588495Z [err]  [2025-12-18 08:00:41 +0000] [4] [INFO] Application startup complete.
2025-12-18T08:00:42.597597701Z [err]  2025-12-18 08:00:41,390 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-18T08:00:42.597605666Z [err]  2025-12-18 08:00:41,390 - server - INFO - ✅ Comfort noise file ready for immediate use
2025-12-18T08:21:45.491665935Z [inf]  100.64.0.2:27034 - "GET /api/auth/me HTTP/1.1" 401
2025-12-18T08:21:45.491672857Z [inf]  100.64.0.3:56676 - "OPTIONS /api/auth/login HTTP/1.1" 200
2025-12-18T08:21:45.491680301Z [inf]  100.64.0.2:27034 - "POST /api/auth/login HTTP/1.1" 200
2025-12-18T08:21:45.491686961Z [inf]  100.64.0.2:27034 - "GET /api/agents HTTP/1.1" 200
2025-12-18T08:21:48.784663852Z [inf]  100.64.0.2:27034 - "GET /api/agents HTTP/1.1" 200
2025-12-18T08:22:39.895390269Z [inf]  100.64.0.2:27034 - "OPTIONS /api/telnyx/call/outbound HTTP/1.1" 200
2025-12-18T08:22:42.253656365Z [err]  2025-12-18 08:22:41,411 - server - INFO - 🌐 Created WebSocket stream URL: wss://api.li-ai.org/api/telnyx/audio-stream
2025-12-18T08:22:42.253664664Z [err]  2025-12-18 08:22:41,511 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-18T08:22:42.253674173Z [err]  2025-12-18 08:22:41,605 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-18T08:22:42.253681118Z [err]  2025-12-18 08:22:41,642 - telnyx_service - INFO - Telnyx service initialized with connection: 2777245537294877821
2025-12-18T08:22:42.253686762Z [err]  2025-12-18 08:22:41,642 - telnyx_service - INFO - 📞 Initiating outbound call from +14048000152 to +17708336397
2025-12-18T08:22:42.253692235Z [err]  2025-12-18 08:22:41,642 - telnyx_service - INFO - 🤖 Enabling AMD (premium mode)
2025-12-18T08:22:42.253701727Z [err]  2025-12-18 08:22:41,643 - telnyx_service - INFO - 🌐 Adding streaming parameters: wss://api.li-ai.org/api/telnyx/audio-stream
2025-12-18T08:22:43.495212575Z [err]  2025-12-18 08:22:42,346 - httpx - INFO - HTTP Request: POST https://api.telnyx.com/v2/calls "HTTP/1.1 200 OK"
2025-12-18T08:22:43.495219420Z [err]  2025-12-18 08:22:42,350 - telnyx_service - INFO - ✅ Call initiated: v3:ESyncobQoDSGo-x6RHzX3FUan2FbCY0ly5ZgrUcYKX4T6OBERvU0Hg
2025-12-18T08:22:43.495226011Z [err]  2025-12-18 08:22:42,451 - server - INFO - 📝 Created call log: v3:ESyncobQoDSGo-x6RHzX3FUan2FbCY0ly5ZgrUcYKX4T6OBERvU0Hg
2025-12-18T08:22:43.495232855Z [err]  2025-12-18 08:22:42,451 - server - INFO - 🔍 DEBUG Call Initiated Webhook (UI Trigger): url='https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', active=True, should_fire=True
2025-12-18T08:22:43.495238866Z [err]  2025-12-18 08:22:42,451 - server - INFO - 🔍 DEBUG Agent Settings Webhook Context: {'temperature': 0.2, 'max_tokens': 500, 'tts_speed': 1, 'llm_provider': 'grok', 'tts_provider': 'elevenlabs', 'stt_provider': 'soniox', 'enable_comfort_noise': True, 'dead_air_settings': {'silence_timeout_normal': 7, 'silence_timeout_hold_on': 25, 'max_checkins_before_disconnect': 2, 'max_call_duration': 1500, 'checkin_message': 'Are you still there?'}, 'voicemail_detection': {'enabled': True, 'use_telnyx_amd': True, 'telnyx_amd_mode': 'premium', 'use_llm_detection': True, 'disconnect_on_detection': True}, 'deepgram_settings': {'endpointing': 500, 'vad_turnoff': 250, 'utterance_end_ms': 1000, 'interim_results': True, 'smart_format': True}, 'elevenlabs_settings': {'voice_id': 'J5iaaqzR5zn6HFG4jV3b', 'model': 'eleven_turbo_v2_5', 'stability': 0.6, 'similarity_boost': 0.65, 'style': 0.2, 'speed': 1.1, 'use_speaker_boost': True, 'enable_normalization': True, 'enable_ssml_parsing': True}, 'hume_settings': {'voice_name': 'e7af7ed6-3381-48aa-ab97-49485007470b', 'description': 'warm and friendly', 'speed': 1}, 'sesame_settings': {'speaker_id': 0, 'output_format': 'wav'}, 'melo_settings': {'voice': 'EN-US', 'speed': 1.2, 'clone_wav': None}, 'dia_settings': {'voice': 'S1', 'speed': 1, 'response_format': 'wav'}, 'kokoro_settings': {'voice': 'af_bella', 'speed': 1, 'response_format': 'mp3'}, 'chattts_settings': {'voice': 'female_1', 'speed': 1, 'temperature': 0.3, 'response_format': 'wav'}, 'assemblyai_settings': {'sample_rate': 8000, 'word_boost': [], 'enable_extra_session_information': True, 'disable_partial_transcripts': False, 'threshold': 0, 'end_of_turn_confidence_threshold': 0.8, 'min_end_of_turn_silence_when_confident': 500, 'max_turn_silence': 2000}, 'soniox_settings': {'model': 'stt-rt-v3', 'sample_rate': 8000, 'audio_format': 'mulaw', 'num_channels': 1, 'enable_endpoint_detection': True, 'enable_speaker_diarization': False, 'language_hints': ['en'], 'context': ''}, 'post_call_webhook_url': 'https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', 'post_call_webhook_active': True, 'call_started_webhook_url': 'https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', 'call_started_webhook_active': True}
2025-12-18T08:22:44.850927279Z [err]  2025-12-18 08:22:42,468 - redis_service - INFO - 📦 Stored call data in Redis: v3:ESyncobQoDSGo-x6RHzX3FUan2FbCY0ly5ZgrUcYKX4T6OBERvU0Hg (TTL: 3600s)
2025-12-18T08:22:44.850937266Z [err]  2025-12-18 08:22:42,468 - server - INFO - 📦 Call data stored in Redis and memory
2025-12-18T08:22:44.850943657Z [err]  2025-12-18 08:22:42,468 - server - INFO - 📞 Outbound call initiated: v3:ESyncobQoDSGo-x6RHzX3FUan2FbCY0ly5ZgrUcYKX4T6OBERvU0Hg
