2025-12-27T08:05:24.000000000Z [inf]  Starting Container
2025-12-27T08:05:25.240214365Z [inf]  =========================================
2025-12-27T08:05:25.240218217Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-27T08:05:25.240223217Z [inf]  =========================================
2025-12-27T08:05:25.240227160Z [inf]  📍 Working directory: /app/backend
2025-12-27T08:05:25.240230900Z [inf]  🔍 Python path: /app/backend
2025-12-27T08:05:25.240234527Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-27T08:05:25.240238088Z [inf]  =========================================
2025-12-27T08:05:25.504590503Z [err]  [2025-12-27 08:05:25 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-27T08:05:25.504597799Z [err]  [2025-12-27 08:05:25 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-27T08:05:25.504603842Z [err]  [2025-12-27 08:05:25 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-27T08:05:25.504609637Z [err]  [2025-12-27 08:05:25 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-27T08:05:25.584198883Z [err]  [2025-12-27 08:05:25 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-27T08:05:25.676712138Z [err]  [2025-12-27 08:05:25 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-27T08:05:25.751055205Z [err]  [2025-12-27 08:05:25 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-27T08:05:45.727850805Z [err]  2025-12-27 08:05:39,345 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T08:05:45.727862534Z [err]  2025-12-27 08:05:39,345 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T08:05:45.727870476Z [err]  2025-12-27 08:05:39,371 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T08:05:45.727879170Z [err]  2025-12-27 08:05:39,437 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T08:05:45.727879695Z [err]  2025-12-27 08:05:39,295 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T08:05:45.727887708Z [err]  2025-12-27 08:05:39,438 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T08:05:45.727889127Z [err]  2025-12-27 08:05:39,295 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T08:05:45.727898440Z [err]  2025-12-27 08:05:39,451 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T08:05:45.727899147Z [err]  2025-12-27 08:05:39,296 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-27T08:05:45.727908832Z [err]  2025-12-27 08:05:39,296 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T08:05:45.727909162Z [err]  2025-12-27 08:05:39,451 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-27T08:05:45.727918274Z [err]  2025-12-27 08:05:39,474 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T08:05:45.727918930Z [err]  2025-12-27 08:05:39,322 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T08:05:45.727927207Z [err]  2025-12-27 08:05:39,323 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-27T08:05:45.728731024Z [err]  2025-12-27 08:05:39,477 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T08:05:45.728740451Z [err]  2025-12-27 08:05:39,579 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T08:05:45.728742544Z [err]  2025-12-27 08:05:39,773 - server - INFO - ✅ CRM router loaded
2025-12-27T08:05:45.728750569Z [err]  2025-12-27 08:05:39,581 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T08:05:45.728756858Z [err]  2025-12-27 08:05:39,776 - server - INFO - ✅ QC test router loaded
2025-12-27T08:05:45.728761037Z [err]  2025-12-27 08:05:39,592 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-27T08:05:45.728805716Z [err]  2025-12-27 08:05:39,593 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T08:05:45.728812666Z [err]  2025-12-27 08:05:39,636 - server - INFO - ✅ QC agent router loaded
2025-12-27T08:05:45.728816823Z [err]  2025-12-27 08:05:39,636 - server - INFO - ✅ QC agent router loaded
2025-12-27T08:05:45.728820827Z [err]  2025-12-27 08:05:39,640 - server - INFO - ✅ QC agent router loaded
2025-12-27T08:05:45.728825387Z [err]  2025-12-27 08:05:39,646 - server - INFO - ✅ QC enhanced router loaded
2025-12-27T08:05:45.728829508Z [err]  2025-12-27 08:05:39,657 - server - INFO - ✅ QC learning router loaded
2025-12-27T08:05:45.728833465Z [err]  2025-12-27 08:05:39,658 - server - INFO - ✅ QC learning router loaded
2025-12-27T08:05:45.728837237Z [err]  2025-12-27 08:05:39,676 - server - INFO - ✅ QC learning router loaded
2025-12-27T08:05:45.728841602Z [err]  2025-12-27 08:05:39,681 - server - INFO - ✅ QC agent router loaded
2025-12-27T08:05:45.728845509Z [err]  2025-12-27 08:05:39,697 - server - INFO - ✅ QC learning router loaded
2025-12-27T08:05:45.728849183Z [err]  2025-12-27 08:05:39,757 - server - INFO - ✅ CRM router loaded
2025-12-27T08:05:45.728853801Z [err]  2025-12-27 08:05:39,769 - server - INFO - ✅ QC test router loaded
2025-12-27T08:05:45.729696473Z [err]  2025-12-27 08:05:39,802 - server - INFO - ✅ Agent test router loaded
2025-12-27T08:05:45.729705950Z [err]  2025-12-27 08:05:39,778 - server - INFO - ✅ CRM router loaded
2025-12-27T08:05:45.729707795Z [err]  2025-12-27 08:05:39,808 - server - INFO - ✅ Director Studio router loaded
2025-12-27T08:05:45.729716524Z [err]  2025-12-27 08:05:39,808 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-27T08:05:45.729719626Z [err]  2025-12-27 08:05:39,781 - server - INFO - ✅ QC test router loaded
2025-12-27T08:05:45.729725801Z [err]  [2025-12-27 08:05:39 +0000] [5] [INFO] Started server process [5]
2025-12-27T08:05:45.729726149Z [err]  2025-12-27 08:05:39,786 - server - INFO - ✅ Agent test router loaded
2025-12-27T08:05:45.729733454Z [err]  2025-12-27 08:05:39,787 - server - INFO - ✅ CRM router loaded
2025-12-27T08:05:45.729734984Z [err]  [2025-12-27 08:05:39 +0000] [5] [INFO] Waiting for application startup.
2025-12-27T08:05:45.729738781Z [err]  2025-12-27 08:05:39,789 - server - INFO - ✅ Agent test router loaded
2025-12-27T08:05:45.729743233Z [err]  2025-12-27 08:05:39,790 - server - INFO - ✅ QC test router loaded
2025-12-27T08:05:45.729747308Z [err]  2025-12-27 08:05:39,792 - server - INFO - ✅ Agent test router loaded
2025-12-27T08:05:45.729751191Z [err]  2025-12-27 08:05:39,797 - server - INFO - ✅ Director Studio router loaded
2025-12-27T08:05:45.729755319Z [err]  2025-12-27 08:05:39,797 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-27T08:05:45.729759670Z [err]  2025-12-27 08:05:39,798 - server - INFO - ✅ Director Studio router loaded
2025-12-27T08:05:45.729763977Z [err]  2025-12-27 08:05:39,798 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-27T08:05:45.729768089Z [err]  2025-12-27 08:05:39,801 - server - INFO - ✅ Director Studio router loaded
2025-12-27T08:05:45.729771804Z [err]  2025-12-27 08:05:39,802 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-27T08:05:45.730714553Z [err]  [2025-12-27 08:05:39 +0000] [6] [INFO] Started server process [6]
2025-12-27T08:05:45.730725608Z [err]  [2025-12-27 08:05:39 +0000] [6] [INFO] Waiting for application startup.
2025-12-27T08:05:45.730734902Z [err]  [2025-12-27 08:05:39 +0000] [4] [INFO] Started server process [4]
2025-12-27T08:05:45.730742120Z [err]  [2025-12-27 08:05:39 +0000] [4] [INFO] Waiting for application startup.
2025-12-27T08:05:45.730749235Z [err]  [2025-12-27 08:05:39 +0000] [3] [INFO] Started server process [3]
2025-12-27T08:05:45.730756721Z [err]  [2025-12-27 08:05:39 +0000] [3] [INFO] Waiting for application startup.
2025-12-27T08:05:45.730763963Z [err]  2025-12-27 08:05:39,879 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-27T08:05:45.730771180Z [err]  2025-12-27 08:05:39,879 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-27T08:05:45.730777447Z [err]  2025-12-27 08:05:39,879 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-27T08:05:45.730785259Z [err]  2025-12-27 08:05:39,880 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2025-12-27T08:05:47.703432193Z [err]  2025-12-27 08:05:47,649 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-27T08:05:47.703444357Z [err]  2025-12-27 08:05:47,623 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-27T08:05:47.703456321Z [err]  2025-12-27 08:05:47,623 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2025-12-27T08:05:47.703464639Z [err]  2025-12-27 08:05:47,623 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2025-12-27T08:05:47.703472015Z [err]  2025-12-27 08:05:47,640 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-27T08:05:47.703479221Z [err]  2025-12-27 08:05:47,640 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
2025-12-27T08:05:47.703488372Z [err]  2025-12-27 08:05:47,645 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2025-12-27T08:05:47.703491726Z [err]  2025-12-27 08:05:47,623 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
