2026-01-10T21:35:42.000000000Z [inf]  Starting Container
2026-01-10T21:35:43.614629441Z [err]  [2026-01-10 21:35:43 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-10T21:35:43.614641540Z [err]  [2026-01-10 21:35:43 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-10T21:35:43.614650051Z [err]  [2026-01-10 21:35:43 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-10T21:35:43.614658474Z [inf]  =========================================
2026-01-10T21:35:43.614659750Z [err]  [2026-01-10 21:35:43 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-10T21:35:43.614666844Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-10T21:35:43.614673811Z [inf]  =========================================
2026-01-10T21:35:43.614681456Z [inf]  📍 Working directory: /app/backend
2026-01-10T21:35:43.614688226Z [inf]  🔍 Python path: /app/backend
2026-01-10T21:35:43.614695844Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-10T21:35:43.614702893Z [inf]  =========================================
2026-01-10T21:35:43.614710407Z [err]  [2026-01-10 21:35:43 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-10T21:35:43.614717701Z [err]  [2026-01-10 21:35:43 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-10T21:35:43.614725600Z [err]  [2026-01-10 21:35:43 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-10T21:36:03.496207937Z [err]  2026-01-10 21:35:58,612 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T21:36:03.496212530Z [err]  2026-01-10 21:35:58,590 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T21:36:03.496219825Z [err]  2026-01-10 21:35:58,590 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T21:36:03.496222147Z [err]  2026-01-10 21:35:58,619 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T21:36:03.496228333Z [err]  2026-01-10 21:35:58,596 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T21:36:03.496233178Z [err]  2026-01-10 21:35:58,723 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T21:36:03.496234948Z [err]  2026-01-10 21:35:58,596 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T21:36:03.496242942Z [err]  2026-01-10 21:35:58,598 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T21:36:03.496243677Z [err]  2026-01-10 21:35:58,728 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T21:36:03.496249763Z [err]  2026-01-10 21:35:58,598 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T21:36:03.496255447Z [err]  2026-01-10 21:35:58,602 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T21:36:03.496261475Z [err]  2026-01-10 21:35:58,604 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T21:36:03.496267357Z [err]  2026-01-10 21:35:58,607 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T21:36:03.496273807Z [err]  2026-01-10 21:35:58,607 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T21:36:03.497022112Z [err]  2026-01-10 21:35:58,732 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T21:36:03.497029713Z [err]  2026-01-10 21:35:58,736 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T21:36:03.497036716Z [err]  2026-01-10 21:35:58,823 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T21:36:03.497044143Z [err]  2026-01-10 21:35:58,825 - server - INFO - ✅ QC enhanced router loaded
