2025-12-18T03:25:18.000000000Z [inf]  Starting Container
2025-12-18T03:25:18.582867407Z [inf]  =========================================
2025-12-18T03:25:18.582874289Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-18T03:25:18.582880675Z [inf]  =========================================
2025-12-18T03:25:18.582891136Z [inf]  📍 Working directory: /app/backend
2025-12-18T03:25:18.582897613Z [inf]  🔍 Python path: /app/backend
2025-12-18T03:25:18.582906245Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-18T03:25:18.582912742Z [inf]  =========================================
2025-12-18T03:25:18.714535927Z [err]  [2025-12-18 03:25:18 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-18T03:25:18.715859969Z [err]  [2025-12-18 03:25:18 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-18T03:25:18.715869081Z [err]  [2025-12-18 03:25:18 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-18T03:25:18.722505485Z [err]  [2025-12-18 03:25:18 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-18T03:25:18.808237490Z [err]  [2025-12-18 03:25:18 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-18T03:25:18.901866461Z [err]  [2025-12-18 03:25:18 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-18T03:25:18.937770456Z [err]  [2025-12-18 03:25:18 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-18T03:25:38.940304124Z [err]  2025-12-18 03:25:32,423 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T03:25:38.940312482Z [err]  2025-12-18 03:25:32,613 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T03:25:38.940312983Z [err]  2025-12-18 03:25:32,424 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T03:25:38.940318398Z [err]  2025-12-18 03:25:32,426 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T03:25:38.940324206Z [err]  2025-12-18 03:25:32,427 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T03:25:38.940325892Z [err]  2025-12-18 03:25:32,724 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T03:25:38.940331143Z [err]  2025-12-18 03:25:32,456 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T03:25:38.940336251Z [err]  2025-12-18 03:25:32,459 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T03:25:38.940341469Z [err]  2025-12-18 03:25:32,579 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T03:25:38.940343857Z [err]  2025-12-18 03:25:32,742 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-18T03:25:38.940348875Z [err]  2025-12-18 03:25:32,579 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T03:25:38.940354337Z [err]  2025-12-18 03:25:32,743 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-18T03:25:38.940356102Z [err]  2025-12-18 03:25:32,598 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T03:25:38.940360990Z [err]  2025-12-18 03:25:32,604 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T03:25:38.942012906Z [err]  2025-12-18 03:25:32,969 - server - INFO - ✅ Director Studio router loaded
2025-12-18T03:25:38.942021140Z [err]  2025-12-18 03:25:32,969 - server - INFO - ✅ QC agents orchestrator loaded
2025-12-18T03:25:38.942033776Z [err]  2025-12-18 03:25:32,747 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T03:25:38.942055668Z [err]  2025-12-18 03:25:32,769 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-18T03:25:38.942061839Z [err]  2025-12-18 03:25:32,778 - server - INFO - ✅ QC agent router loaded
2025-12-18T03:25:38.942066877Z [err]  2025-12-18 03:25:32,785 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T03:25:38.942071525Z [err]  2025-12-18 03:25:32,800 - server - INFO - ✅ QC agent router loaded
2025-12-18T03:25:38.942076558Z [err]  2025-12-18 03:25:32,806 - server - INFO - ✅ QC learning router loaded
2025-12-18T03:25:38.942081491Z [err]  2025-12-18 03:25:32,826 - server - INFO - ✅ QC learning router loaded
2025-12-18T03:25:38.942086017Z [err]  2025-12-18 03:25:32,869 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T03:25:38.942090538Z [err]  2025-12-18 03:25:32,892 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-18T03:25:38.942095012Z [err]  2025-12-18 03:25:32,919 - server - INFO - ✅ CRM router loaded
2025-12-18T03:25:38.942099308Z [err]  2025-12-18 03:25:32,928 - server - INFO - ✅ QC agent router loaded
2025-12-18T03:25:38.942103219Z [err]  2025-12-18 03:25:32,935 - server - INFO - ✅ QC test router loaded
2025-12-18T03:25:38.942107591Z [err]  2025-12-18 03:25:32,950 - server - INFO - ✅ QC enhanced router loaded
2025-12-18T03:25:38.942113769Z [err]  2025-12-18 03:25:32,957 - server - INFO - ✅ Agent test router loaded
2025-12-18T03:25:38.942118417Z [err]  2025-12-18 03:25:32,961 - server - INFO - ✅ QC learning router loaded
2025-12-18T03:25:38.944451187Z [err]  2025-12-18 03:25:32,977 - server - INFO - ✅ CRM router loaded
2025-12-18T03:25:38.944460717Z [err]  2025-12-18 03:25:32,983 - server - INFO - ✅ QC test router loaded
2025-12-18T03:25:38.944467061Z [err]  [2025-12-18 03:25:32 +0000] [5] [INFO] Started server process [5]
2025-12-18T03:25:38.944472821Z [err]  [2025-12-18 03:25:32 +0000] [5] [INFO] Waiting for application startup.
2025-12-18T03:25:38.944478196Z [err]  2025-12-18 03:25:32,995 - server - INFO - ✅ QC agent router loaded
2025-12-18T03:25:38.944485601Z [err]  2025-12-18 03:25:33,003 - server - INFO - ✅ Agent test router loaded
