2026-01-10T22:35:50.000000000Z [inf]  Starting Container
2026-01-10T22:35:51.190187641Z [inf]  🔍 Python path: /app/backend
2026-01-10T22:35:51.190202788Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-10T22:35:51.190203338Z [inf]  =========================================
2026-01-10T22:35:51.190216931Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2026-01-10T22:35:51.190222376Z [err]  [2026-01-10 22:35:50 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-10T22:35:51.190227376Z [inf]  =========================================
2026-01-10T22:35:51.190228722Z [err]  [2026-01-10 22:35:50 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-10T22:35:51.190237340Z [inf]  📍 Working directory: /app/backend
2026-01-10T22:35:51.190239344Z [err]  [2026-01-10 22:35:50 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-10T22:35:51.190242305Z [err]  [2026-01-10 22:35:50 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-10T22:35:51.190252711Z [inf]  =========================================
2026-01-10T22:35:51.190254071Z [err]  [2026-01-10 22:35:50 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-10T22:35:51.190255976Z [err]  [2026-01-10 22:35:50 +0000] [6] [INFO] Booting worker with pid: 6
2026-01-10T22:35:51.190267278Z [err]  [2026-01-10 22:35:50 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-10T22:36:11.263065874Z [err]  2026-01-10 22:36:03,041 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T22:36:11.263066885Z [err]  2026-01-10 22:36:02,895 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T22:36:11.263080954Z [err]  2026-01-10 22:36:02,906 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T22:36:11.263081684Z [err]  2026-01-10 22:36:02,895 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T22:36:11.263087428Z [err]  2026-01-10 22:36:02,978 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T22:36:11.263096746Z [err]  2026-01-10 22:36:02,978 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T22:36:11.263100892Z [err]  2026-01-10 22:36:02,910 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T22:36:11.263108168Z [err]  2026-01-10 22:36:02,985 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T22:36:11.263109108Z [err]  2026-01-10 22:36:02,964 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T22:36:11.263113209Z [err]  2026-01-10 22:36:02,900 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T22:36:11.263117737Z [err]  2026-01-10 22:36:02,964 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T22:36:11.263117812Z [err]  2026-01-10 22:36:03,027 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T22:36:11.263125693Z [err]  2026-01-10 22:36:02,900 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T22:36:11.263127623Z [err]  2026-01-10 22:36:02,977 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-10T22:36:11.264183570Z [err]  2026-01-10 22:36:03,152 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T22:36:11.264185866Z [err]  2026-01-10 22:36:03,233 - server - INFO - ✅ QC learning router loaded
