2025-12-28T09:32:34.000000000Z [inf]  Starting Container
2025-12-28T09:32:34.438245979Z [inf]  =========================================
2025-12-28T09:32:34.438252864Z [inf]  🚀 START.SH SCRIPT IS EXECUTING
2025-12-28T09:32:34.438259366Z [inf]  =========================================
2025-12-28T09:32:34.438266218Z [inf]  📍 Working directory: /app/backend
2025-12-28T09:32:34.438288276Z [inf]  🔍 Python path: /app/backend
2025-12-28T09:32:34.438298153Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2025-12-28T09:32:34.438306109Z [inf]  =========================================
2025-12-28T09:32:34.986711066Z [err]  [2025-12-28 09:32:34 +0000] [1] [INFO] Starting gunicorn 22.0.0
2025-12-28T09:32:34.986720196Z [err]  [2025-12-28 09:32:34 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-12-28T09:32:34.986727447Z [err]  [2025-12-28 09:32:34 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2025-12-28T09:32:34.986733724Z [err]  [2025-12-28 09:32:34 +0000] [3] [INFO] Booting worker with pid: 3
2025-12-28T09:32:35.027488451Z [err]  [2025-12-28 09:32:35 +0000] [4] [INFO] Booting worker with pid: 4
2025-12-28T09:32:35.178941141Z [err]  [2025-12-28 09:32:35 +0000] [5] [INFO] Booting worker with pid: 5
2025-12-28T09:32:35.178951738Z [err]  [2025-12-28 09:32:35 +0000] [6] [INFO] Booting worker with pid: 6
2025-12-28T09:32:55.184992435Z [err]  2025-12-28 09:32:52,603 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-28T09:32:55.184999565Z [err]  2025-12-28 09:32:52,603 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-28T09:32:55.185004255Z [err]  2025-12-28 09:32:52,608 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-28T09:32:55.185008124Z [err]  2025-12-28 09:32:52,608 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-28T09:32:55.185012735Z [err]  2025-12-28 09:32:52,628 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-28T09:32:55.185017178Z [err]  2025-12-28 09:32:52,631 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2025-12-28T09:32:55.185021480Z [err]  2025-12-28 09:32:52,733 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-28T09:32:55.185026007Z [err]  2025-12-28 09:32:52,755 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2025-12-28T09:32:55.185031804Z [err]  2025-12-28 09:32:52,773 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-28T09:32:55.185035883Z [err]  2025-12-28 09:32:52,773 - server - INFO - 🔥 Pre-warming connection libraries...
2025-12-28T09:32:55.185040251Z [err]  2025-12-28 09:32:52,773 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2025-12-28T09:32:55.185045561Z [err]  2025-12-28 09:32:52,773 - server - INFO - 🔥 Pre-warming connection libraries...
